round	kind	commit	first_parent	other_parent	audited_delta	counts	no_delete	protected_check	expected_write_domain	evidence	result
B0	baseline-range	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f		2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f..df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	A221/M43	PASS	RECORDED baseline anchor	Runtime 11 / Core 4 / app 5 plus existing SK/Q01/Q02 continuity	integration/full-suite-result.json; integration/smoke.log	baseline anchor
I1	merge	e2ab3f5ef106b6bcbbbb5a7574282a40904d3faf	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	ab09b0dee05f73e8e615c0a5f9107a8ba15ff697	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1..e2ab3f5ef106b6bcbbbb5a7574282a40904d3faf; second-parent ab09b0dee05f73e8e615c0a5f9107a8ba15ff697..e2ab3f5ef106b6bcbbbb5a7574282a40904d3faf (A206/M38; topology context)	A91/M12	PASS	PASS app/server+app/core unchanged (exit 0)	ICON vendor/specimen/docs and provenance ledger	icon/logs/icon-parity-and-rebuild.log; icon/logs/vendor-rebuild.log	accepted
I2	maintenance	6169f015f1cacd342f89cd29c2b7acad9a426ef3	e2ab3f5ef106b6bcbbbb5a7574282a40904d3faf		e2ab3f5ef106b6bcbbbb5a7574282a40904d3faf..6169f015f1cacd342f89cd29c2b7acad9a426ef3	M2	PASS	PASS app/web/vendor unchanged (exit 0)	ICON specimen generator/index whitespace only; product vendor bytes	icon/logs/git-diff-check.log; icon/logs/git-diff-check-count.log	accepted maintenance
S0	merge	0220d350b05aac9eafabe9620d34673f3d01adc7	6169f015f1cacd342f89cd29c2b7acad9a426ef3	4b1ac9362a83f0759da3b83aa8c843dd2764448e	6169f015f1cacd342f89cd29c2b7acad9a426ef3..0220d350b05aac9eafabe9620d34673f3d01adc7; second-parent 4b1ac9362a83f0759da3b83aa8c843dd2764448e..0220d350b05aac9eafabe9620d34673f3d01adc7 (A313/M51; topology context)	A3	PASS	PASS product app unchanged (exit 0)	Spark BE-41 DTO / SP-10..12 contract and WO-SP1-FE docs	engineering/design/spark-surface-2026-09-10/integration-ruling.md; engineering/design/spark-surface-2026-09-10/wo-sp1-fe.md	contract prerequisite
F1	merge	68b8d3d67d6b66d1a6c2c8d4f72ff7079135b662	0220d350b05aac9eafabe9620d34673f3d01adc7	0b457f87259ea4ecd4ca27d7b5c6ffe475ac6dab	0220d350b05aac9eafabe9620d34673f3d01adc7..68b8d3d67d6b66d1a6c2c8d4f72ff7079135b662; second-parent 0b457f87259ea4ecd4ca27d7b5c6ffe475ac6dab..68b8d3d67d6b66d1a6c2c8d4f72ff7079135b662 (A315/M51; topology context)	A246/M9	PASS	PASS app/server+app/core unchanged (exit 0)	FE-05a UI/tests/docs/evidence	fe05a/independent-verification.md; integration/logs/fe05a-main-seams.log	accepted
A0	merge	1097fd453a6da0d0302cb64a881b48c583dc06d1	68b8d3d67d6b66d1a6c2c8d4f72ff7079135b662	9db6fc4362a07dc8ff20e1914e2ac471f20b62c1	68b8d3d67d6b66d1a6c2c8d4f72ff7079135b662..1097fd453a6da0d0302cb64a881b48c583dc06d1; second-parent 9db6fc4362a07dc8ff20e1914e2ac471f20b62c1..1097fd453a6da0d0302cb64a881b48c583dc06d1 (A468/M47; topology context)	A33/M4	PASS	PASS app/server+app/core unchanged (exit 0)	scoped ATT-FE-01 triage UI/tests/docs/evidence	attention/independent-verification.md; attention/logs/astra-current-main-seams.log	prepared scoped merge
M1	merge	aa2c55b74dd872c9f9156b09dcdf9b7f07075c8a	68b8d3d67d6b66d1a6c2c8d4f72ff7079135b662	93a641fd91e1615f2f8495f4f4576d310753740c	68b8d3d67d6b66d1a6c2c8d4f72ff7079135b662..aa2c55b74dd872c9f9156b09dcdf9b7f07075c8a; second-parent 93a641fd91e1615f2f8495f4f4576d310753740c..aa2c55b74dd872c9f9156b09dcdf9b7f07075c8a (A468/M47; topology context)	A51	PASS	PASS app/server+app/core unchanged (exit 0)	FE-05 material specimen/docs/captures/evidence	material/independent-verification.md; material/combined/independent-browser-verification.json	accepted
A1	merge	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	aa2c55b74dd872c9f9156b09dcdf9b7f07075c8a	1097fd453a6da0d0302cb64a881b48c583dc06d1	aa2c55b74dd872c9f9156b09dcdf9b7f07075c8a..055cffcbc18eb26d15f3818aada50b82a4bd0fa8; second-parent 1097fd453a6da0d0302cb64a881b48c583dc06d1..055cffcbc18eb26d15f3818aada50b82a4bd0fa8 (A51; topology context)	A33/M4	PASS	PASS app/server+app/core unchanged (exit 0)	ATT-FE-01 triage UI/tests/docs/evidence	attention/independent-verification.md; attention/independent-browser-verification.json	accepted; current rollup HEAD
SP1	merge	9761303450280c8100aec4b0c4617f9d2c55e7bb	68b8d3d67d6b66d1a6c2c8d4f72ff7079135b662	63840a7df22914e7a13cffcee0f646b8ded6ab9f	68b8d3d67d6b66d1a6c2c8d4f72ff7079135b662..9761303450280c8100aec4b0c4617f9d2c55e7bb; second-parent 63840a7df22914e7a13cffcee0f646b8ded6ab9f..9761303450280c8100aec4b0c4617f9d2c55e7bb (A561/M57; topology context)	A10/M4	PASS	PASS app/core unchanged; app/server/index.mjs static registration allowed (exit 0)	Spark read surface UI/tests/fixtures/docs/evidence plus static registration	spark-delivery-20260910/README.md; spark-delivery-20260910/browser-regressions.json	candidate source
SP2	maintenance	eccacd04f715cc7502f755b4e3df71e5353bcce2	9761303450280c8100aec4b0c4617f9d2c55e7bb		9761303450280c8100aec4b0c4617f9d2c55e7bb..eccacd04f715cc7502f755b4e3df71e5353bcce2	A5/M1	PASS	PASS app/server+app/core unchanged (exit 0)	Spark scope/retry/focus integration fixes	spark-delivery-20260910/browser-regressions.json	candidate repair
