round	source_label	source_base	source_commit	target	target_commit	target_description	delta_status	path	source_mode	source_blob	target_mode	target_blob	comparison	later_owner	later_commits	invariant	detail
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	AGENTS.md	100644	2b6ab1895af89bf72565ed7034b023373034b8a9	100644	2b6ab1895af89bf72565ed7034b023373034b8a9	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/README.md	100644	5fb6f5084c29a1d6f20804f02e4842279c714b00	100644	5fb6f5084c29a1d6f20804f02e4842279c714b00	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/core/client.mjs	100644	46575f9adbd05ffcfa0167e206fe52d32261b8f0	100644	46575f9adbd05ffcfa0167e206fe52d32261b8f0	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/docs/runtime-foundation.md	100644	14a8adc02175b7143df8f4208b954b845bcb6d8a	100644	14a8adc02175b7143df8f4208b954b845bcb6d8a	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/server/credential-file.mjs	100644	06a060f13a4d4ddcb82030819ce489f9ac5d9bb3	100644	06a060f13a4d4ddcb82030819ce489f9ac5d9bb3	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/server/index.mjs	100644	be1a0d8e6e35318e8d1e3d841819ac7dda149f7d	100644	be1a0d8e6e35318e8d1e3d841819ac7dda149f7d	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/server/provider-connections.mjs	100644	7527cff9d151d9dae67f768f386bf2ab18cdfe1a	100644	7527cff9d151d9dae67f768f386bf2ab18cdfe1a	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	A	app/server/provider-fields.mjs	100644	de931d5ef2b154926461806aa84ba44994650121	100644	de931d5ef2b154926461806aa84ba44994650121	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/server/service.mjs	100644	605dbd5179f7c03591dad6b6f0a2a4f0ada64044	100644	605dbd5179f7c03591dad6b6f0a2a4f0ada64044	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/server/store.mjs	100644	b9cc4cb0c3bc7171ccb4392ab3645473fe97fc57	100644	b9cc4cb0c3bc7171ccb4392ab3645473fe97fc57	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/tests/async-boundaries-independent.test.mjs	100644	26921d4c0299798f310ff65269e256af30a8f056	100644	26921d4c0299798f310ff65269e256af30a8f056	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/tests/async-recovery-independent.test.mjs	100644	80f23815f25923248a70c2fe538973ea7f84e5d1	100644	80f23815f25923248a70c2fe538973ea7f84e5d1	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/tests/async-tasks.test.mjs	100644	d56e6ac0cf44687b7292d220e883b695cdc5ba35	100644	d56e6ac0cf44687b7292d220e883b695cdc5ba35	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/tests/attention-agent.test.mjs	100644	eeb3cb898c1b9ac7aa2e8d168538b390eec0cba5	100644	eeb3cb898c1b9ac7aa2e8d168538b390eec0cba5	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/tests/control-plane.test.mjs	100644	010bdd8296539d301a0a1cb905cf90af4575b94b	100644	010bdd8296539d301a0a1cb905cf90af4575b94b	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/tests/coordination.test.mjs	100644	a84ba572cd9d9b437c73128791423f3cee4139a6	100644	a84ba572cd9d9b437c73128791423f3cee4139a6	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/tests/durability.test.mjs	100644	dbc8f7c7122176359557adc4041e6a50c7b0b5b4	100644	dbc8f7c7122176359557adc4041e6a50c7b0b5b4	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	A	app/tests/fixtures/review-core-client/worker.py	100755	7386de4e1d45e96983e2e0227789f0ec102b14ca	100755	7386de4e1d45e96983e2e0227789f0ec102b14ca	retained_exact	-	-	source mode/blob equals target mode/blob	-
